Trail_CODE,Name,Type,CODE,Title,FILENAME,DESCRIPTION,Column2
DGW,The Devil's Glen - Waterfall Walk,,DGW2,Forest Path,DGW2.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW3,Arch,DGW3.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW4,Top of Waterfall,DGW4.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW5,Waterfall 2,DGW5.jpg,,
TRW,Tinahely Railway Walk,OTHER,TRW1,Bridge,TRW1.jpg,,Ok
TRW,Tinahely Railway Walk,COVER,TRW2,Underbridge,TRW2.jpg,,Ok
TRW,Tinahely Railway Walk,OTHER,TRW5,Trail,TRW5.jpg,,Ok
TRW,Tinahely Railway Walk,OTHER,TRW6,Map,TRW6.jpg,,Changed to PDF
WRG,Woodland Road - Glendalough,COVER,WRG1,House,WRG1.jpg,,Ok
WRG,Woodland Road - Glendalough,OTHER,WRG2,Lake,WRG2.jpg,,Ok
WRG,Woodland Road - Glendalough,POI,GRW2,Glendalough Lower Lake,GRW2.jpg,,
WRG,Woodland Road - Glendalough,POI,MRW6,Glendalough Upper Lake,MRW6.jpg,,
LVT,Roundwood Reservoir Lower Vartry Trail,OTHER,LVT2,Map,LVT2.jpg,,
UVT,Roundwood Reservoir Upper Vartry Trail,OTHER,UVT2,Map,UVT2.jpg,,
RWT,Roundwood Reservoir Woodpecker Trail,OTHER,RWT2,Map,RWT.jpg,,
RWW,Roundwood Reservoir Woodland Walk,OTHER,RWW2,Map,RWW2.jpg,,
ALK,Arklow Loops Kynoch Walk,OTHER,ALK2,Map,ALK2.jpg,,
ALL,Arklow Loops Love Lane Walk,OTHER,ALL2,Map,ALL2.jpg,,
ALM,Arklow Loops Monument Walk,OTHER,ALM2,Map,ALM2.jpg,,
ALSB,Arklow Loops South Beach Walk,OTHER,ALSB2,Map,ALSB2.jpg,,
ALT,Arklow Loops Town Walk,OTHER,ALT2,Map,ALT2.jpg,,
DWB,Djouce Woods - Blue Loop,OTHER,DWD5,Map,DWD5.jpg,,
RJL,Rathdrum - Jubilee Loop,OTHER,RJL2,Map,RJL2.jpg,,
WWY1,Wicklow Way Stage 1 Marley Park to Knockree,OTHER,WWY12,Map,WWY12.jpg,,
WWY2,Wicklow Way Stage 2 Knockree to Oldbridge,OTHER,WWY22,Map,WWY22.jpg,,
WWY3,Wicklow Way Stage 3 Oldbridge to Glendalough,OTHER,WWY32,Map,WWY32.jpg,,
WWY4,Wicklow Way Stage 4 Glendalough to Glenmalure,OTHER,WWY42,Map,WWY42.jpg,,
MWY,Miner's Way,OTHER,MWY2,Map,MWY2.jpg,,
